"Weslyan university","161 Cross Street Middletown, CT","06457","@weslyan.edu",41.807098,-72.735001
"Yale University","New Haven, Connecticut 06520","06520","@yale.edu","10192",41.31118,-72.92803
"Southwestern University","1001 University Ave Georgetown Texas 78626","78626","@southwestern.edu",30.6451,-97.6494
"Southwestern University","1001 University Ave Georgetown Texas 78626","78626","@southwestern.edu",30.6451,-97.6494
"Cleveland Institute of Art","11141 East Blvd Cleveland Ohio 44106-1710","44106","@cia.edu",41.5102,-81.6092
"Donnelly College","608 N 18th St Kansas City Kansas 66102","66102","@donnelly.edu",39.1131,-94.673
"Humboldt State University","1 Harpst Street Arcata California 95521-8299","95521","@humboldt.edu",40.8739,-124.0814
"Sojourner-Douglass College","500 N Caroline St Baltimore Maryland 21205-1898","21205","@sojourner.edu",39.2962,-76.5976
"Wagner College","One Campus Rd Staten Island New York 10301-4495","10301","@wagner.edu",40.6125,-74.0919
"John F Kennedy University","100 Ellinwood Way Pleasant Hill California 94523-4817","94523","@jfku.edu",37.9566,-122.0548
"Northwood University","1114 W FM 1382 Cedar Hill Texas 75104-1204","75104","@northwood.edu",32.6134,-96.9679
"The Dickinson School of Law of the Pennsylvania State University","150 South College St Carlisle Pennsylvania 17013-2861","17013","@psu.edu",40.1994,-77.197
"Loyola College in Maryland","4501 N Charles St Baltimore Maryland 21210-2699","21210","@loyola.edu",39.3455,-76.6219
"Spalding University","845 S. Third Street Louisville Kentucky 40203-2188","40203","@spalding.edu",38.2426,-85.7588
"Alliant International University","1000 S Fremont Ave Unit 5 Alhambra California 91803-1360","91803","@alliant.edu",34.0732,-118.1461
"Goddard College","123 Pitkin Road Plainfield Vermont 05667-9432","05667","@goddard.edu",44.2791,-72.4387
"Boston Architectural College","320 Newbury Street Boston Massachusetts 02115-2703","02115","@bc.edu",42.3482,-71.087
"Ohio University-Eastern Campus","45425 National Rd W Saint Clairsville Ohio 43950","43950","@ohio.edu",40.0844,-80.9106
"Midland College","3600 N Garfield Midland Texas 79705","79705","@midland.edu",32.031999,-102.0884
"Northland Baptist Bible College","W10085 Pike Plains Rd Dunbar Wisconsin 54119-9285","54119","@northland.edu",45.5848,-88.0904
"Pacific Graduate School of Psychology","405 Broadway St. Redwood City California 94063","94063","@pgsp.edu",37.4842,-122.2164
"Blackburn College","700 College Ave Carlinville Illinois 62626","62626","@mail.blackb.edu",39.2787,-89.8769
"Lindsey Wilson College","210 Lindsey Wilson St Columbia Kentucky 42728-1223","42728","@lindsey.edu",37.103,-85.3018
"Long Island University-Rockland Campus","70 Route 340 Orangeburg New York 10962-2219","10962","@liu.edu",41.0425,-73.9393
"Menlo College","1000 El Camino Real Atherton California 94027-4301","94027","@menlo.edu",37.4573,-122.1909
"Missouri Valley College","500 E College St Marshall Missouri 65340","65340","@moval.edu",39.1011,-93.1913
"Radford University","East Main Street Radford Virginia 24141-0672","24141","@radford.edu",37.1257,-80.5702
"Rush University","600 S. Paulina St. STE 440 Chicago Illinois 60612","60612","@rush.edu",41.88,-87.6874
"Thomas Edison State College","101 W State St Trenton New Jersey 08608-1176","08608","@tesc.edu",40.2204,-74.7682
"Samuel Merritt University","370 Hawthorne Avenue Oakland California 94609","94609","@samuelmerritt.edu",37.8348,-122.2643
"Mississippi Valley State University","14000 Highway 82 West Itta Bena Mississippi 38941-1400","38941","@mvsu.edu",33.4688,-90.3495
"Academy of Art University","79 New Montgomery San Francisco California 94105","94105","@academyart.edu",37.789,-122.3946
